Date,Day-ahead Total Load Forecast [MW],Actual Total Load [MW],Solar Generation (MW),Solar hours (h),Solar Prognose (Day-Ahead D-1 18:00),Solar_diff,Solar_Prognose_diff,Monthly_Avg_Price,Price (EUR/MWhe)_y,GPRHC_DEU,GPRHC_RUS,GPRHC_UKR,GPRHC_USA
December 2015,165071295.0,170109019.0,3403718.0,65.2,3250833.0,165610657.5,161777408.7,27.79,27.786129032258064,0.5047060251235962,0.9548492431640625,0.16368845105171204,4.610558032989502
January 2016,165999055.0,180283749.0,2683523.0,49.4,2640433.8,177202597.6,163391135.1,29.03,29.0258064516129,0.43290042877197266,0.7169913649559021,0.12175324559211731,3.3955628871917725
February 2016,160421792.0,171671729.0,5028578.0,60.2,5396103.6,166193030.6,155031768.70000002,22.0,21.99793103448276,0.5882353186607361,1.3055953979492188,0.3156384527683258,2.998565196990967
March 2016,163961621.0,175266530.0,9945575.0,99.1,9616994.6,165491427.3,154498141.20000002,24.3,24.299032258064518,0.5618728995323181,0.8695651888847351,0.2541806101799011,3.2775919437408447
April 2016,150598368.0,162494443.0,15855805.0,158.6,15540332.4,147222703.29999998,135005631.7,24.21,24.21066666666667,0.35156798362731934,0.9422022104263306,0.2390662282705307,3.051610231399536
May 2016,149426480.0,160731863.0,19915804.0,219.5,19593866.7,141769400.70000002,129882857.3,22.55,22.550967741935484,0.3291356563568115,0.7155123353004456,0.1431024670600891,2.704636573791504
June 2016,150414626.0,158883937.0,19106740.0,190.7,18446299.7,139620829.0,131969630.2,27.7,27.705,0.32129743695259094,0.6272949576377869,0.06119950860738754,2.5703794956207275
July 2016,154457288.0,162251494.0,19771246.0,201.3,20022404.4,142423376.6,134394378.79999998,27.18,27.181290322580644,0.6273525953292847,0.8085877299308777,0.195176362991333,3.164645195007324
August 2016,152276298.0,160634631.0,18879573.0,227.2,19202564.4,141744627.8,133119421.7,27.18,27.181612903225805,0.2679767608642578,1.0123567581176758,0.3126395642757416,2.7690932750701904
September 2016,151658720.0,157836440.0,15393647.0,215.2,15499286.3,142296525.6,136136489.89999998,30.51,30.51033333333333,0.3109540641307831,1.2862191200256348,0.16961130499839783,3.307420492172241
October 2016,159994362.0,169457610.0,6718892.0,61.4,7045370.1,162141723.7,152787811.8,37.14,37.141290322580645,0.3113999366760254,0.9612780809402466,0.1624695360660553,2.7078256607055664
November 2016,167282955.0,177979446.0,4083534.0,60.3,4321820.8,173435356.9,163001520.1,38.21,38.214000000000006,0.4296763241291046,1.0885133743286133,0.3437410593032837,2.5207676887512207
December 2016,166725186.0,178199264.0,3167754.0,64.5,3362255.5,174607038.6,163307282.7,37.47,37.47064516129032,0.6120996475219727,1.338078260421753,0.3416370153427124,3.0462634563446045
January 2017,176245538.0,189674476.0,3193689.0,73.0,2943394.4,186047788.0,173361599.6,52.41,52.40612903225807,0.3896103799343109,1.4935065507888794,0.48051947355270386,3.103896141052246
February 2017,163758898.0,168989355.0,5939903.0,68.7,5717826.1,162450961.5,158032344.8,39.68,39.68035714285714,0.6234228610992432,1.291375994682312,0.5046756863594055,3.5475730895996094
March 2017,172077001.0,177904603.0,12922394.0,148.4,12590290.0,164498206.2,159632953.0,31.69,31.692580645161293,0.28776979446411133,0.824068009853363,0.17004577815532684,2.864617347717285
April 2017,152798720.0,160228092.0,15427605.0,153.2,15500262.3,144279182.4,137255616.89999998,28.72,28.721,0.3975870609283447,1.4258294105529785,0.24677817523479462,3.3040854930877686
May 2017,158266669.0,164367586.0,20481368.0,223.9,19762296.5,143697092.79999998,138556543.1,30.61,30.60903225806452,0.44946882128715515,0.885317325592041,0.1634432077407837,2.8330154418945312
June 2017,154348182.0,157576939.0,21467550.0,241.2,21841904.7,135963145.9,132492349.2,30.0,30.004,0.5639097690582275,1.0204081535339355,0.28195488452911377,3.772825002670288
