Date,Day-ahead Total Load Forecast [MW],Actual Total Load [MW],Solar Generation (MW),Solar hours (h),Solar Prognose (Day-Ahead D-1 18:00),Solar_diff,Solar_Prognose_diff,Monthly_Avg_Price,Price (EUR/MWhe)_y
January 2023,175639057.0,168611815.0,3332866.0,32.2,1245.4367271505378,55474.75527553764,57789.62778897849,135.59,135.58774193548388
February 2023,156073058.0,152552302.0,9316379.0,89.2,3393.005394345238,53240.783593750006,54666.20948660714,128.39,128.39178571428573
March 2023,170443975.0,163499634.0,15029024.0,99.7,4766.193581989247,49945.25517473119,52560.322513440864,102.4,102.40032258064517
April 2023,148610619.0,144578742.0,22085578.0,151.0,7483.623125,42674.31694444444,44100.08440972222,100.83,100.83233333333332
May 2023,149541966.0,145272838.0,31998939.0,249.3,10595.20806451613,38287.30702284946,39663.04939516127,81.65,81.64741935483872
June 2023,146633728.0,141940928.0,35636601.0,304.1,12315.20048611111,37143.51479166668,38593.16951388889,94.84,94.83966666666667
July 2023,143965172.0,145056494.0,30815530.0,227.6,10388.472244623656,38507.44472446236,37978.78575268818,77.48,77.48258064516129
August 2023,140875701.0,145204478.0,26149234.0,185.5,8811.900504032257,40069.62093413978,38532.40883736559,94.41,94.41387096774191
September 2023,138706886.0,143231190.0,26359321.0,246.6,9263.435833333331,40542.04958333333,38882.22079861111,100.73,100.72633333333332
October 2023,150243164.0,155188281.0,13375837.0,100.0,4542.166700268817,47571.687903225815,45906.46646505377,87.32,87.31645161290322
November 2023,157514809.0,164363096.0,5609602.0,38.8,2023.1962152777776,55100.95406249999,52681.51284722222,91.18,91.17966666666666
December 2023,161298004.0,163997120.0,3160724.0,29.1,1087.4190217391304,53959.786547741496,53097.427080411406,68.38,68.37483870967742
January 2024,169580450.0,176381993.0,5870393.0,69.7,2009.521505376344,57313.22258064517,54989.4366263441,76.63,76.63548387096773
February 2024,157747389.0,159827644.0,9052347.0,51.2,3251.9116379310344,54152.5433908046,53405.136889367815,61.36,61.35655172413793
March 2024,159348281.0,160770407.0,19604796.0,120.3,6483.432493279571,47462.294522849465,47098.49643817204,64.66,64.66419354838709
April 2024,150003318.0,144732688.0,26607734.0,151.6,8693.593888888889,41023.67180555556,43394.16708333333,62.39,62.393
May 2024,149199298.0,140954515.0,34256739.0,215.3,11233.92752016129,35858.39579973118,38906.07456317204,67.28,67.28451612903227
June 2024,146887657.0,144702774.0,35142963.0,210.1,12585.143541666666,38040.80836805556,38415.22152777779,72.89,72.89
July 2024,151822977.0,150906256.0,37850255.0,236.5,12993.181485215056,38003.33393817204,38025.53491263441,67.71,67.71032258064515
