"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","03.01.2023 09:00 - 03.01.2023 09:15 (CET/CEST)","1328"
"Germany (DE)","03.01.2023 09:15 - 03.01.2023 09:30 (CET/CEST)","2060"
"Germany (DE)","03.01.2023 09:30 - 03.01.2023 09:45 (CET/CEST)","2814"
"Germany (DE)","03.01.2023 09:45 - 03.01.2023 10:00 (CET/CEST)","3716"
"Germany (DE)","03.01.2023 10:00 - 03.01.2023 10:15 (CET/CEST)","4573"
"Germany (DE)","03.01.2023 10:15 - 03.01.2023 10:30 (CET/CEST)","5477"
"Germany (DE)","03.01.2023 10:30 - 03.01.2023 10:45 (CET/CEST)","6397"
"Germany (DE)","03.01.2023 10:45 - 03.01.2023 11:00 (CET/CEST)","7337"
"Germany (DE)","03.01.2023 11:00 - 03.01.2023 11:15 (CET/CEST)","8285"
"Germany (DE)","03.01.2023 11:15 - 03.01.2023 11:30 (CET/CEST)","9070"
"Germany (DE)","03.01.2023 11:30 - 03.01.2023 11:45 (CET/CEST)","9748"
"Germany (DE)","03.01.2023 11:45 - 03.01.2023 12:00 (CET/CEST)","10249"
"Germany (DE)","03.01.2023 12:00 - 03.01.2023 12:15 (CET/CEST)","10546"
"Germany (DE)","03.01.2023 12:15 - 03.01.2023 12:30 (CET/CEST)","10338"
"Germany (DE)","03.01.2023 12:30 - 03.01.2023 12:45 (CET/CEST)","10165"
"Germany (DE)","03.01.2023 12:45 - 03.01.2023 13:00 (CET/CEST)","9820"
"Germany (DE)","03.01.2023 13:00 - 03.01.2023 13:15 (CET/CEST)","9403"
"Germany (DE)","03.01.2023 13:15 - 03.01.2023 13:30 (CET/CEST)","8744"
"Germany (DE)","03.01.2023 13:30 - 03.01.2023 13:45 (CET/CEST)","8133"
"Germany (DE)","03.01.2023 13:45 - 03.01.2023 14:00 (CET/CEST)","7457"
"Germany (DE)","03.01.2023 14:00 - 03.01.2023 14:15 (CET/CEST)","6746"
"Germany (DE)","03.01.2023 14:15 - 03.01.2023 14:30 (CET/CEST)","5988"
"Germany (DE)","03.01.2023 14:30 - 03.01.2023 14:45 (CET/CEST)","5088"
"Germany (DE)","03.01.2023 14:45 - 03.01.2023 15:00 (CET/CEST)","4186"
"Germany (DE)","03.01.2023 15:00 - 03.01.2023 15:15 (CET/CEST)","3286"
"Germany (DE)","03.01.2023 15:15 - 03.01.2023 15:30 (CET/CEST)","2416"
"Germany (DE)","03.01.2023 15:30 - 03.01.2023 15:45 (CET/CEST)","1564"
"Germany (DE)","03.01.2023 15:45 - 03.01.2023 16:00 (CET/CEST)","855"
"Germany (DE)","03.01.2023 16:00 - 03.01.2023 16:15 (CET/CEST)","364"
"Germany (DE)","03.01.2023 16:15 - 03.01.2023 16:30 (CET/CEST)","105"
"Germany (DE)","03.01.2023 16:30 - 03.01.2023 16:45 (CET/CEST)","18"
"Germany (DE)","03.01.2023 16:45 - 03.01.2023 17:00 (CET/CEST)","7"
"Germany (DE)","03.01.2023 17:00 - 03.01.2023 17:15 (CET/CEST)","4"
"Germany (DE)","03.01.2023 17:15 - 03.01.2023 17:30 (CET/CEST)","5"
"Germany (DE)","03.01.2023 17:30 - 03.01.2023 17:45 (CET/CEST)","3"
"Germany (DE)","03.01.2023 17:45 - 03.01.2023 18:00 (CET/CEST)","1"
"Germany (DE)","03.01.2023 18:00 - 03.01.2023 18:15 (CET/CEST)","1"
"Germany (DE)","03.01.2023 18:15 - 03.01.2023 18:30 (CET/CEST)","1"
"Germany (DE)","03.01.2023 18:30 - 03.01.2023 18:45 (CET/CEST)","1"
"Germany (DE)","03.01.2023 18:45 - 03.01.2023 19:00 (CET/CEST)","2"
"Germany (DE)","03.01.2023 19:00 - 03.01.2023 19:15 (CET/CEST)","2"
"Germany (DE)","03.01.2023 19:15 - 03.01.2023 19:30 (CET/CEST)","1"
"Germany (DE)","03.01.2023 19:30 - 03.01.2023 19:45 (CET/CEST)","1"
"Germany (DE)","03.01.2023 19:45 - 03.01.2023 20:00 (CET/CEST)","1"
"Germany (DE)","03.01.2023 20:00 - 03.01.2023 20:15 (CET/CEST)","2"
"Germany (DE)","03.01.2023 20:15 - 03.01.2023 20:30 (CET/CEST)","2"
"Germany (DE)","03.01.2023 20:30 - 03.01.2023 20:45 (CET/CEST)","1"
"Germany (DE)","03.01.2023 20:45 - 03.01.2023 21:00 (CET/CEST)","1"
"Germany (DE)","03.01.2023 21:00 - 03.01.2023 21:15 (CET/CEST)","2"
"Germany (DE)","03.01.2023 21:15 - 03.01.2023 21:30 (CET/CEST)","1"
"Germany (DE)","03.01.2023 21:30 - 03.01.2023 21:45 (CET/CEST)","1"
"Germany (DE)","03.01.2023 21:45 - 03.01.2023 22:00 (CET/CEST)","1"
"Germany (DE)","03.01.2023 22:00 - 03.01.2023 22:15 (CET/CEST)","2"
"Germany (DE)","03.01.2023 22:15 - 03.01.2023 22:30 (CET/CEST)","1"
"Germany (DE)","03.01.2023 22:30 - 03.01.2023 22:45 (CET/CEST)","2"
"Germany (DE)","03.01.2023 22:45 - 03.01.2023 23:00 (CET/CEST)","1"
"Germany (DE)","03.01.2023 23:00 - 03.01.2023 23:15 (CET/CEST)","2"
"Germany (DE)","03.01.2023 23:15 - 03.01.2023 23:30 (CET/CEST)","1"
"Germany (DE)","03.01.2023 23:30 - 03.01.2023 23:45 (CET/CEST)","1"
"Germany (DE)","03.01.2023 23:45 - 04.01.2023 00:00 (CET/CEST)","1"
"Germany (DE)","04.01.2023 00:00 - 04.01.2023 00:15 (CET/CEST)","2"
"Germany (DE)","04.01.2023 00:15 - 04.01.2023 00:30 (CET/CEST)","1"
"Germany (DE)","04.01.2023 00:30 - 04.01.2023 00:45 (CET/CEST)","1"
"Germany (DE)","04.01.2023 00:45 - 04.01.2023 01:00 (CET/CEST)","1"
"Germany (DE)","04.01.2023 01:00 - 04.01.2023 01:15 (CET/CEST)","2"
"Germany (DE)","04.01.2023 01:15 - 04.01.2023 01:30 (CET/CEST)","1"
"Germany (DE)","04.01.2023 01:30 - 04.01.2023 01:45 (CET/CEST)","1"
"Germany (DE)","04.01.2023 01:45 - 04.01.2023 02:00 (CET/CEST)","1"
"Germany (DE)","04.01.2023 02:00 - 04.01.2023 02:15 (CET/CEST)","2"
"Germany (DE)","04.01.2023 02:15 - 04.01.2023 02:30 (CET/CEST)","1"
"Germany (DE)","04.01.2023 02:30 - 04.01.2023 02:45 (CET/CEST)","1"
"Germany (DE)","04.01.2023 02:45 - 04.01.2023 03:00 (CET/CEST)","1"
"Germany (DE)","04.01.2023 03:00 - 04.01.2023 03:15 (CET/CEST)","1"
"Germany (DE)","04.01.2023 03:15 - 04.01.2023 03:30 (CET/CEST)","1"
"Germany (DE)","04.01.2023 03:30 - 04.01.2023 03:45 (CET/CEST)","1"
"Germany (DE)","04.01.2023 03:45 - 04.01.2023 04:00 (CET/CEST)","1"
"Germany (DE)","04.01.2023 04:00 - 04.01.2023 04:15 (CET/CEST)","1"
"Germany (DE)","04.01.2023 04:15 - 04.01.2023 04:30 (CET/CEST)","1"
"Germany (DE)","04.01.2023 04:30 - 04.01.2023 04:45 (CET/CEST)","1"
