"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2024 22:45 - 01.01.2024 23:00 (CET/CEST)","2"
"Germany (DE)","01.01.2024 23:00 - 01.01.2024 23:15 (CET/CEST)","3"
"Germany (DE)","01.01.2024 23:15 - 01.01.2024 23:30 (CET/CEST)","2"
"Germany (DE)","01.01.2024 23:30 - 01.01.2024 23:45 (CET/CEST)","2"
"Germany (DE)","01.01.2024 23:45 - 02.01.2024 00:00 (CET/CEST)","2"
"Germany (DE)","02.01.2024 00:00 - 02.01.2024 00:15 (CET/CEST)","3"
"Germany (DE)","02.01.2024 00:15 - 02.01.2024 00:30 (CET/CEST)","3"
"Germany (DE)","02.01.2024 00:30 - 02.01.2024 00:45 (CET/CEST)","2"
"Germany (DE)","02.01.2024 00:45 - 02.01.2024 01:00 (CET/CEST)","2"
"Germany (DE)","02.01.2024 01:00 - 02.01.2024 01:15 (CET/CEST)","2"
"Germany (DE)","02.01.2024 01:15 - 02.01.2024 01:30 (CET/CEST)","2"
"Germany (DE)","02.01.2024 01:30 - 02.01.2024 01:45 (CET/CEST)","2"
"Germany (DE)","02.01.2024 01:45 - 02.01.2024 02:00 (CET/CEST)","2"
"Germany (DE)","02.01.2024 02:00 - 02.01.2024 02:15 (CET/CEST)","3"
"Germany (DE)","02.01.2024 02:15 - 02.01.2024 02:30 (CET/CEST)","2"
"Germany (DE)","02.01.2024 02:30 - 02.01.2024 02:45 (CET/CEST)","2"
"Germany (DE)","02.01.2024 02:45 - 02.01.2024 03:00 (CET/CEST)","3"
"Germany (DE)","02.01.2024 03:00 - 02.01.2024 03:15 (CET/CEST)","3"
"Germany (DE)","02.01.2024 03:15 - 02.01.2024 03:30 (CET/CEST)","3"
"Germany (DE)","02.01.2024 03:30 - 02.01.2024 03:45 (CET/CEST)","2"
"Germany (DE)","02.01.2024 03:45 - 02.01.2024 04:00 (CET/CEST)","2"
"Germany (DE)","02.01.2024 04:00 - 02.01.2024 04:15 (CET/CEST)","2"
"Germany (DE)","02.01.2024 04:15 - 02.01.2024 04:30 (CET/CEST)","2"
"Germany (DE)","02.01.2024 04:30 - 02.01.2024 04:45 (CET/CEST)","2"
"Germany (DE)","02.01.2024 04:45 - 02.01.2024 05:00 (CET/CEST)","2"
"Germany (DE)","02.01.2024 05:00 - 02.01.2024 05:15 (CET/CEST)","2"
"Germany (DE)","02.01.2024 05:15 - 02.01.2024 05:30 (CET/CEST)","2"
"Germany (DE)","02.01.2024 05:30 - 02.01.2024 05:45 (CET/CEST)","2"
"Germany (DE)","02.01.2024 05:45 - 02.01.2024 06:00 (CET/CEST)","3"
"Germany (DE)","02.01.2024 06:00 - 02.01.2024 06:15 (CET/CEST)","2"
"Germany (DE)","02.01.2024 06:15 - 02.01.2024 06:30 (CET/CEST)","2"
"Germany (DE)","02.01.2024 06:30 - 02.01.2024 06:45 (CET/CEST)","3"
"Germany (DE)","02.01.2024 06:45 - 02.01.2024 07:00 (CET/CEST)","3"
"Germany (DE)","02.01.2024 07:00 - 02.01.2024 07:15 (CET/CEST)","2"
"Germany (DE)","02.01.2024 07:15 - 02.01.2024 07:30 (CET/CEST)","2"
"Germany (DE)","02.01.2024 07:30 - 02.01.2024 07:45 (CET/CEST)","2"
"Germany (DE)","02.01.2024 07:45 - 02.01.2024 08:00 (CET/CEST)","2"
"Germany (DE)","02.01.2024 08:00 - 02.01.2024 08:15 (CET/CEST)","3"
"Germany (DE)","02.01.2024 08:15 - 02.01.2024 08:30 (CET/CEST)","13"
"Germany (DE)","02.01.2024 08:30 - 02.01.2024 08:45 (CET/CEST)","57"
"Germany (DE)","02.01.2024 08:45 - 02.01.2024 09:00 (CET/CEST)","147"
"Germany (DE)","02.01.2024 09:00 - 02.01.2024 09:15 (CET/CEST)","272"
"Germany (DE)","02.01.2024 09:15 - 02.01.2024 09:30 (CET/CEST)","455"
"Germany (DE)","02.01.2024 09:30 - 02.01.2024 09:45 (CET/CEST)","656"
"Germany (DE)","02.01.2024 09:45 - 02.01.2024 10:00 (CET/CEST)","868"
"Germany (DE)","02.01.2024 10:00 - 02.01.2024 10:15 (CET/CEST)","1095"
"Germany (DE)","02.01.2024 10:15 - 02.01.2024 10:30 (CET/CEST)","1309"
"Germany (DE)","02.01.2024 10:30 - 02.01.2024 10:45 (CET/CEST)","1521"
"Germany (DE)","02.01.2024 10:45 - 02.01.2024 11:00 (CET/CEST)","1716"
"Germany (DE)","02.01.2024 11:00 - 02.01.2024 11:15 (CET/CEST)","1896"
"Germany (DE)","02.01.2024 11:15 - 02.01.2024 11:30 (CET/CEST)","2095"
"Germany (DE)","02.01.2024 11:30 - 02.01.2024 11:45 (CET/CEST)","2263"
"Germany (DE)","02.01.2024 11:45 - 02.01.2024 12:00 (CET/CEST)","2423"
"Germany (DE)","02.01.2024 12:00 - 02.01.2024 12:15 (CET/CEST)","2596"
"Germany (DE)","02.01.2024 12:15 - 02.01.2024 12:30 (CET/CEST)","2706"
"Germany (DE)","02.01.2024 12:30 - 02.01.2024 12:45 (CET/CEST)","2757"
"Germany (DE)","02.01.2024 12:45 - 02.01.2024 13:00 (CET/CEST)","2759"
"Germany (DE)","02.01.2024 13:00 - 02.01.2024 13:15 (CET/CEST)","2664"
"Germany (DE)","02.01.2024 13:15 - 02.01.2024 13:30 (CET/CEST)","2529"
"Germany (DE)","02.01.2024 13:30 - 02.01.2024 13:45 (CET/CEST)","2336"
"Germany (DE)","02.01.2024 13:45 - 02.01.2024 14:00 (CET/CEST)","2066"
"Germany (DE)","02.01.2024 14:00 - 02.01.2024 14:15 (CET/CEST)","1745"
"Germany (DE)","02.01.2024 14:15 - 02.01.2024 14:30 (CET/CEST)","1432"
"Germany (DE)","02.01.2024 14:30 - 02.01.2024 14:45 (CET/CEST)","1163"
"Germany (DE)","02.01.2024 14:45 - 02.01.2024 15:00 (CET/CEST)","903"
"Germany (DE)","02.01.2024 15:00 - 02.01.2024 15:15 (CET/CEST)","648"
"Germany (DE)","02.01.2024 15:15 - 02.01.2024 15:30 (CET/CEST)","435"
"Germany (DE)","02.01.2024 15:30 - 02.01.2024 15:45 (CET/CEST)","256"
"Germany (DE)","02.01.2024 15:45 - 02.01.2024 16:00 (CET/CEST)","129"
"Germany (DE)","02.01.2024 16:00 - 02.01.2024 16:15 (CET/CEST)","49"
"Germany (DE)","02.01.2024 16:15 - 02.01.2024 16:30 (CET/CEST)","14"
"Germany (DE)","02.01.2024 16:30 - 02.01.2024 16:45 (CET/CEST)","4"
"Germany (DE)","02.01.2024 16:45 - 02.01.2024 17:00 (CET/CEST)","4"
"Germany (DE)","02.01.2024 17:00 - 02.01.2024 17:15 (CET/CEST)","4"
"Germany (DE)","02.01.2024 17:15 - 02.01.2024 17:30 (CET/CEST)","2"
"Germany (DE)","02.01.2024 17:30 - 02.01.2024 17:45 (CET/CEST)","2"
"Germany (DE)","02.01.2024 17:45 - 02.01.2024 18:00 (CET/CEST)","2"
"Germany (DE)","02.01.2024 18:00 - 02.01.2024 18:15 (CET/CEST)","2"
"Germany (DE)","02.01.2024 18:15 - 02.01.2024 18:30 (CET/CEST)","2"
"Germany (DE)","02.01.2024 18:30 - 02.01.2024 18:45 (CET/CEST)","2"
"Germany (DE)","02.01.2024 18:45 - 02.01.2024 19:00 (CET/CEST)","2"
"Germany (DE)","02.01.2024 19:00 - 02.01.2024 19:15 (CET/CEST)","3"
"Germany (DE)","02.01.2024 19:15 - 02.01.2024 19:30 (CET/CEST)","2"
"Germany (DE)","02.01.2024 19:30 - 02.01.2024 19:45 (CET/CEST)","2"
"Germany (DE)","02.01.2024 19:45 - 02.01.2024 20:00 (CET/CEST)","2"
"Germany (DE)","02.01.2024 20:00 - 02.01.2024 20:15 (CET/CEST)","3"
"Germany (DE)","02.01.2024 20:15 - 02.01.2024 20:30 (CET/CEST)","2"
"Germany (DE)","02.01.2024 20:30 - 02.01.2024 20:45 (CET/CEST)","2"
"Germany (DE)","02.01.2024 20:45 - 02.01.2024 21:00 (CET/CEST)","2"
"Germany (DE)","02.01.2024 21:00 - 02.01.2024 21:15 (CET/CEST)","3"
"Germany (DE)","02.01.2024 21:15 - 02.01.2024 21:30 (CET/CEST)","3"
"Germany (DE)","02.01.2024 21:30 - 02.01.2024 21:45 (CET/CEST)","2"
"Germany (DE)","02.01.2024 21:45 - 02.01.2024 22:00 (CET/CEST)","2"
"Germany (DE)","02.01.2024 22:00 - 02.01.2024 22:15 (CET/CEST)","2"
"Germany (DE)","02.01.2024 22:15 - 02.01.2024 22:30 (CET/CEST)","2"
"Germany (DE)","02.01.2024 22:30 - 02.01.2024 22:45 (CET/CEST)","4"
"Germany (DE)","02.01.2024 22:45 - 02.01.2024 23:00 (CET/CEST)","2"
"Germany (DE)","02.01.2024 23:00 - 02.01.2024 23:15 (CET/CEST)","3"
"Germany (DE)","02.01.2024 23:15 - 02.01.2024 23:30 (CET/CEST)","2"
"Germany (DE)","02.01.2024 23:30 - 02.01.2024 23:45 (CET/CEST)","2"
"Germany (DE)","02.01.2024 23:45 - 03.01.2024 00:00 (CET/CEST)","2"
